code,name_short,gender,function,country,nationality,height,weight,disciplines,events,birth_date,occupation,education,family,lang
1954818,TIO CASAS I,Female,Athlete,Spain,Spain,0,0,['Artistic Swimming'],"['Team', 'Duet']",2/11/2002,Athlete,,"Father, Enric. Mother, Laia","Catalan, Spanish"
1954819,TOLEDANO LAUT B,Female,Athlete,Spain,Spain,0,0,['Artistic Swimming'],['Team'],3/11/2000,"Athlete, student, sports care service","Studies Psychology at the International University of La Rioja (Logrono, ESP)","Partner, Ramon Ruiz Domenech","Catalan, English, Spanish"
1954821,CABANES GARZAS L,Female,Athlete,Spain,Spain,0,0,['Swimming'],"[""Women's 100m Butterfly"", ""Women's 200m Butterfly""]",3/01/2006,,,,Spanish
1954822,CAMPABADAL AMEZCUA,Female,Athlete,Spain,Spain,0,0,['Swimming'],"[""Women's 4 x 200m Freestyle Relay"", 'Relay Only Athlete']",3/06/2003,,,,Spanish
1954824,CARRASCO CADENS E,Female,Athlete,Spain,Spain,0,0,['Swimming'],"[""Women's 200m Individual Medley"", ""Women's 400m Individual Medley""]",31/12/2005,,Studying Psychology at UCAM Universidad (ESP),,Spanish
1954826,CASTRO VALLE C,Male,Athlete,Spain,Spain,0,0,['Swimming'],"[""Men's 4 x 100m Freestyle Relay"", ""Men's 4 x 200m Freestyle Relay"", 'Relay Only Athlete']",31/05/1999,,"Studied for a Bachelor's Degree in Marketing and Commercial Management at Universidad Catolica San Antonio de Murcia, UCAM (ESP)",,
1954827,COLL MARTI C,Male,Athlete,Spain,Spain,0,0,['Swimming'],"[""Men's 4 x 100m Medley Relay"", 'Relay Only Athlete']",15/10/2001,Student,"Virginia Tech University, Blacksburg (USA)",,"English, Spanish"
1954829,DAZA GARCIA M,Female,Athlete,Spain,Spain,0,0,['Swimming'],"[""Women's 4 x 200m Freestyle Relay"", 'Relay Only Athlete']",28/08/2007,,,,
1954830,de CELIS MONTALBAN,Male,Athlete,Spain,Spain,0,0,['Swimming'],"[""Men's 100m Freestyle"", ""Men's 4 x 100m Freestyle Relay"", ""Men's 4 x 100m Medley Relay""]",18/01/2000,,,,Spanish
1954831,DOMINGUEZ L,Male,Athlete,Spain,Spain,0,0,['Swimming'],"[""Men's 4 x 100m Freestyle Relay"", ""Men's 4 x 200m Freestyle Relay"", 'Relay Only Athlete']",18/01/2003,Student,"Studying Nanomedicine at Virginia Tech University, Blacksburg (VI, USA)",,"English, Spanish"
1954833,GARACH BENITO C,Male,Athlete,Spain,Spain,0,0,"['Marathon Swimming', 'Swimming']","[""Men's 10km"", ""Men's 1500m Freestyle"", ""Men's 4 x 200m Freestyle Relay"", ""Men's 800m Freestyle""]",25/07/2004,,,,Spanish
1954837,GONZALEZ ALVAREZ A,Male,Athlete,Spain,Spain,0,0,['Swimming'],"[""Men's 200m Butterfly""]",31/08/2002,,Physical Activity and Sports Sciences,,Spanish
1954838,GONZALEZ Hugo,Male,Athlete,Spain,Spain,0,0,['Swimming'],"[""Men's 100m Backstroke"", ""Men's 200m Backstroke"", ""Men's 200m Individual Medley"", ""Men's 4 x 100m Medley Relay""]",19/02/1999,Athlete,"Degree in Portuguese Language and Literature - University of California, Berkeley (USA)","Father, Juan Miguel, Mother, Nadia. Brother, Ruben. Sister, Nadia","English, Portuguese, Spanish"
1954840,HERRERO LAZARO A,Female,Athlete,Spain,Spain,0,0,['Swimming'],"[""Women's 4 x 200m Freestyle Relay"", 'Relay Only Athlete']",20/08/2002,,"Primary Education at UCAM, Murcia (ESP)",,Spanish
1954841,JULIA TOUS F,Male,Athlete,Spain,Spain,0,0,['Swimming'],"[""Men's 4 x 200m Freestyle Relay"", 'Relay Only Athlete']",7/07/2000,,,,Spanish
1954842,JUSTE SANCHEZ P,Female,Athlete,Spain,Spain,0,0,['Swimming'],"[""Women's 4 x 200m Freestyle Relay"", 'Relay Only Athlete']",2/07/2003,,,,Spanish
1954849,MOLLA YANES M,Male,Athlete,Spain,Spain,0,0,['Swimming'],"[""Men's 100m Butterfly"", ""Men's 4 x 100m Freestyle Relay"", ""Men's 4 x 100m Medley Relay""]",13/04/2002,,"Studies at Virginia Tech University, Blacksburg, VA (USA)",,Spanish
1954863,VALL MONTERO J,Female,Athlete,Spain,Spain,0,0,['Swimming'],"[""Women's 100m Breaststroke"", ""Women's 200m Breaststroke""]",22/11/1988,"Athlete, coach","Graduated in 2011 with a Degree in Biomedical Science at Pompeu Fabra University, Barcelona (ESP)","Husband, Alberto","Catalan, Spanish"
1954865,WEILER SASTRE C,Female,Athlete,Spain,Spain,0,0,['Swimming'],"[""Women's 100m Backstroke"", ""Women's 200m Backstroke""]",25/10/2004,Student,"Studying at Virginia Tech University, Blacksburg (USA)",,
1954866,ZAMORANO SANZ A,Female,Athlete,Spain,Spain,0,0,['Swimming'],"[""Women's 200m Backstroke""]",11/01/1998,Athlete,Studied Nursing at Autonomous University of Barcelona (ESP),,Catalan
1954867,AGUIRRE U,Male,Athlete,Spain,Spain,192,0,['Water Polo'],['Men'],14/07/2002,Athlete,,"Father, Roberto",Spanish
1954871,BIEL LARA U,Male,Athlete,Spain,Spain,193,0,['Water Polo'],['Men'],19/11/2002,Athlete,,"Father, Rafael (deceased). Sister, Laia",Spanish
1954872,BUSTOS SANCHEZ A,Male,Athlete,Spain,Spain,193,0,['Water Polo'],['Men'],17/03/1997,Athlete,Studied Marketing,"Brother, Javier",Spanish
1954873,CABANAS PEGADO S,Male,Athlete,Spain,Spain,191,0,['Water Polo'],['Men'],10/02/1996,Athlete,,,Spanish
1954874,CAMUS P,Female,Athlete,Spain,Spain,180,0,['Water Polo'],['Women'],12/02/2002,Athlete,,,Spanish
1954875,CRESPI BARRIGA P,Female,Athlete,Spain,Spain,175,0,['Water Polo'],['Women'],7/04/1998,Athlete,Studied Nursing,,Spanish
1954876,de TORO DOMINGUEZ,Male,Athlete,Spain,Spain,202,0,['Water Polo'],['Men'],16/08/1993,Athlete,"Studied Economics at Open University of Catalonia (Barcelona, ESP)","Son, Dante",Spanish
1954877,ESPAR LLAQUET A,Female,Athlete,Spain,Spain,180,0,['Water Polo'],['Women'],8/01/1993,Athlete,"Studied Business Administration at University of Southern California (Los Angeles, USA)","Father, Xesco. Mother, Anna. Sister, Clara","Catalan, English, Spanish"
1954878,ESTER RAMOS L,Female,Athlete,Spain,Spain,172,0,['Water Polo'],['Women'],22/01/1990,Athlete,Graduated with a degree in Biochemistry from Autonomous University of Barcelona (ESP),,"Catalan, Spanish"
